question,answer
"What year did the Progressive Democratic Party request for provisions to be made for black people to vote?","1948"
"Where did John H. McCray meet with Mr. Chism on June 4th?","Florence"
"How did Mr. McCray travel to the Trinity Babtist Church on the February 9th 1947?","Automobile"
"What committee did John H. McCray get invited to by Clark Foreman?","National Citizens Political Action Committee"
"What newspaper did Mr. McKaine have a column in?","The Journal and Guide"
"What did Jack Greenburg thank Mr. John McCray for on August 10th, 1950?","thank you letter"
"Did John Henry McCray play a role in the fight for civil rights in South Carolina?","Yes"
"Was the 1940s an important time period for the fight for civil rights?","Yes"
"Was John McCray scheduled to speak at Mt. Pisgah Baptist Church on October 1, 1948?","Yes"
"Was John McCray scheduled to speak at St. Michael’s Church on September 1, 1948?","No"
"Did Thomasina Johnson meet with John McCray on June 7, 1948?","No"
"Did Mr. T. K. Garety enclose a check of $100 in September 1948 to McCray and his associates in order to help re-elect the president?","Yes"
"Did McCray ever reach out to Palmetto Leader to receive their political advertising rates?","Yes"
"Did the Boy Scouts of America reach out to McCray in 1946 about their 30th anniversary?","No"
